Geneid	/data/biohub/20190129_Lardelli_FMR1_RNASeq/2_alignedData/bams/S4_Aligned.sortedByCoord.out.bam	/data/biohub/20190129_Lardelli_FMR1_RNASeq/2_alignedData/bams/S2_Aligned.sortedByCoord.out.bam	/data/biohub/20190129_Lardelli_FMR1_RNASeq/2_alignedData/bams/S5_Aligned.sortedByCoord.out.bam	/data/biohub/20190129_Lardelli_FMR1_RNASeq/2_alignedData/bams/L_Aligned.sortedByCoord.out.bam	/data/biohub/20190129_Lardelli_FMR1_RNASeq/2_alignedData/bams/G_Aligned.sortedByCoord.out.bam	/data/biohub/20190129_Lardelli_FMR1_RNASeq/2_alignedData/bams/D_Aligned.sortedByCoord.out.bam	/data/biohub/20190129_Lardelli_FMR1_RNASeq/2_alignedData/bams/A_Aligned.sortedByCoord.out.bam	/data/biohub/20190129_Lardelli_FMR1_RNASeq/2_alignedData/bams/S8_Aligned.sortedByCoord.out.bam
ENSDARG00000102141	247	290	353	309	346	359	304	303
ENSDARG00000102123	130	158	95	109	136	159	138	135
ENSDARG00000114503	738	751	676	576	760	682	643	598
ENSDARG00000115971	6	5	5	2	3	4	5	3
ENSDARG00000098311	271	290	342	287	322	288	256	242
ENSDARG00000104839	759	805	714	669	810	552	683	794
ENSDARG00000100143	1062	1303	1253	1026	1252	1418	1015	1060
ENSDARG00000102474	540	474	463	412	545	574	542	506
ENSDARG00000104049	355	316	288	290	318	253	271	311
ENSDARG00000102226	224	196	209	207	236	163	145	260
ENSDARG00000103095	991	1171	882	776	1072	938	851	1046
ENSDARG00000102128	334	388	426	252	389	252	254	451
ENSDARG00000110470	871	965	1104	978	1051	1265	1247	827
ENSDARG00000100422	1256	1740	1442	1196	1404	2177	2119	1145
ENSDARG00000104632	70	82	62	46	53	65	70	54
ENSDARG00000100660	60	89	81	53	57	62	38	93
ENSDARG00000113107	12	15	6	6	15	10	8	14
ENSDARG00000099787	18	13	25	17	20	4	11	18
ENSDARG00000112451	19	40	25	15	24	32	33	26
ENSDARG00000070546	1	7	2	4	3	3	3	1
ENSDARG00000045914	7803	9371	8272	7949	9974	9662	9353	6217
ENSDARG00000045913	559	605	685	650	676	741	618	630
ENSDARG00000045911	1545	1971	1048	1030	1224	1840	1790	1243
ENSDARG00000045910	732	767	687	684	865	924	740	836
ENSDARG00000045909	74	85	62	48	91	90	98	76
ENSDARG00000025073	24051	26346	34954	31070	33082	31539	32839	27910
ENSDARG00000084828	0	0	0	0	0	0	0	0
ENSDARG00000095951	2	3	3	2	1	0	0	0
ENSDARG00000093924	1	1	3	0	4	5	0	4
ENSDARG00000108269	0	0	0	0	0	0	0	0
ENSDARG00000084451	0	0	0	0	0	0	0	0
ENSDARG00000031737	48	53	51	35	50	52	35	59
ENSDARG00000099652	2019	2458	2115	1841	2427	3161	2644	2369
ENSDARG00000101047	1075	958	911	861	1093	981	878	1502
ENSDARG00000102104	142	136	111	107	155	139	121	181
ENSDARG00000099833	406	415	332	325	326	325	411	288
ENSDARG00000103870	26	30	16	19	24	28	25	24
ENSDARG00000096118	947	589	1191	970	833	609	903	694
ENSDARG00000045900	539	596	462	482	399	454	427	488
ENSDARG00000016968	1892	2234	2050	1727	2342	2225	2082	2334
ENSDARG00000102878	600	468	425	474	550	493	514	600
ENSDARG00000059311	2208	1909	1042	1436	1453	1011	885	1785
ENSDARG00000017386	350	453	261	235	279	278	281	235
ENSDARG00000045898	652	776	692	754	743	587	635	650
ENSDARG00000006060	961	1119	837	691	771	947	769	953
ENSDARG00000113105	0	0	0	0	0	0	0	0
ENSDARG00000103050	3	0	0	1	1	0	1	1
