"Subject name","Gene hit","Subject start","Subject end","Subject ori","Genomic Location","Orientation","Query name","Query start","Query end","Query ori","Length","Score","E-val","%ID"
"ENSDART00000123434.3","fmr1","1","4413","Forward","14:20156477-20191281 [Sequence]","Forward","ENSDART00000123434.3","1","4413","Forward","4413 [Sequence]","6941","0.0","100.00 [Alignment]"
"ENSDART00000104478.4","fxr1","52","1407","Forward","22:37551425-37565359 [Sequence]","Reverse","ENSDART00000123434.3","202","1557","Forward","1359 [Sequence]","600","7e-170","64.46 [Alignment]"
"ENSDART00000149482.3","fxr1","4","1345","Forward","22:37551425-37565345 [Sequence]","Reverse","ENSDART00000123434.3","216","1557","Forward","1345 [Sequence]","591","5e-167","64.39 [Alignment]"
"ENSDART00000027718.9","fxr2","544","1520","Forward","7:22718794-22735878 [Sequence]","Forward","ENSDART00000123434.3","202","1178","Forward","977 [Sequence]","534","5e-150","67.35 [Alignment]"
"ENSDART00000143341.3","fxr2","515","1491","Forward","7:22718794-22735878 [Sequence]","Forward","ENSDART00000123434.3","202","1178","Forward","977 [Sequence]","534","5e-150","67.35 [Alignment]"
"ENSDART00000187090.1","fxr2","88","863","Forward","CHR_ALT_CTG7_2_2:22716339-22733075 [Sequence]","Forward","ENSDART00000123434.3","305","1080","Forward","776 [Sequence]","404","1e-110","66.49 [Alignment]"
"ENSDART00000027718.9","fxr2","1580","1744","Forward","7:22735938-22738975 [Sequence]","Forward","ENSDART00000123434.3","1193","1357","Forward","165 [Sequence]","113","4e-23","71.52 [Alignment]"
"ENSDART00000143341.3","fxr2","1551","1715","Forward","7:22735938-22738975 [Sequence]","Forward","ENSDART00000123434.3","1193","1357","Forward","165 [Sequence]","113","4e-23","71.52 [Alignment]"
"ENSDART00000187090.1","fxr2","1048","1212","Forward","CHR_ALT_CTG7_2_2:22733395-22736432 [Sequence]","Forward","ENSDART00000123434.3","1193","1357","Forward","165 [Sequence]","113","4e-23","71.52 [Alignment]"
"ENSDART00000181945.1","si:dkey-90l23.1","1686","1769","Reverse","9:8374796-8374879 [Sequence]","Forward","ENSDART00000123434.3","2456","2539","Forward","84 [Sequence]","55.2","1e-05","70.24 [Alignment]"
"ENSDART00000192482.1","traf3ip2l","4367","4397","Reverse","6:36899741-36899771 [Sequence]","Forward","ENSDART00000123434.3","4056","4086","Forward","31 [Sequence]","50.4","3e-04","100.00 [Alignment]"
"ENSDART00000060910.7","pimr138","3099","3185","Forward","20:43402564-43402650 [Sequence]","Forward","ENSDART00000123434.3","2431","2513","Forward","87 [Sequence]","48.9","0.001","71.26 [Alignment]"
"ENSDART00000022379.9","nr2f6a","2343","2417","Forward","2:24385813-24385887 [Sequence]","Forward","ENSDART00000123434.3","2912","2986","Forward","75 [Sequence]","47.3","0.003","69.33 [Alignment]"
"ENSDART00000187090.1","fxr2","1","52","Forward","CHR_ALT_CTG7_2_2:22716252-22716303 [Sequence]","Forward","ENSDART00000123434.3","203","254","Forward","52 [Sequence]","45.7","0.009","76.92 [Alignment]"
"ENSDART00000188379.1","eno3","2771","2850","Forward","23:44625162-44625241 [Sequence]","Forward","ENSDART00000123434.3","4044","4123","Forward","80 [Sequence]","45.7","0.009","67.50 [Alignment]"
"ENSDART00000187090.1","fxr2","926","988","Forward","CHR_ALT_CTG7_2_2:22733243-22733335 [Sequence]","Forward","ENSDART00000123434.3","1116","1178","Forward","63 [Sequence]","44.1","0.027","71.43 [Alignment]"
"ENSDART00000133509.3","anks1b","4571","4657","Reverse","4:17887556-17887642 [Sequence]","Reverse","ENSDART00000123434.3","2425","2512","Forward","88 [Sequence]","42.6","0.080","67.05 [Alignment]"
"ENSDART00000055038.4","rybpa","566","608","Forward","23:10771891-10771933 [Sequence]","Reverse","ENSDART00000123434.3","1750","1792","Forward","43 [Sequence]","41.0","0.24","79.07 [Alignment]"
"ENSDART00000063837.6","ube2d2","1352","1382","Forward","14:7900995-7901025 [Sequence]","Forward","ENSDART00000123434.3","3053","3083","Forward","31 [Sequence]","41.0","0.24","90.32 [Alignment]"
"ENSDART00000159593.2","ube2d2","1048","1078","Forward","14:7900995-7901025 [Sequence]","Forward","ENSDART00000123434.3","3053","3083","Forward","31 [Sequence]","41.0","0.24","90.32 [Alignment]"
"ENSDART00000172465.2","gnb1b","3605","3639","Forward","6:53305229-53305263 [Sequence]","Reverse","ENSDART00000123434.3","2946","2980","Forward","35 [Sequence]","41.0","0.24","85.71 [Alignment]"
"ENSDART00000104478.4","fxr1","2662","2701","Forward","22:37542777-37542816 [Sequence]","Reverse","ENSDART00000123434.3","4343","4382","Forward","40 [Sequence]","39.4","0.70","80.00 [Alignment]"
"ENSDART00000149482.3","fxr1","2678","2717","Forward","22:37542777-37542816 [Sequence]","Reverse","ENSDART00000123434.3","4343","4382","Forward","40 [Sequence]","39.4","0.70","80.00 [Alignment]"
