"Subject name","Gene hit","Subject start","Subject end","Subject ori","Genomic Location","Orientation","Query name","Query start","Query end","Query ori","Length","Score","E-val","%ID"
"ENSDART00000060479.6","smtnl1","1","1344","Forward","14:17108003-17121713 [Sequence]","Reverse","ENSDART00000060479.6","1","1344","Forward","1344 [Sequence]","2115","0.0","100.00 [Alignment]"
"ENSDART00000170154.2","smtnl1","1","976","Forward","14:17108349-17121676 [Sequence]","Reverse","ENSDART00000060479.6","38","998","Forward","976 [Sequence]","1461","0.0","98.46 [Alignment]"
"ENSDART00000183098.1","smtnb","718","975","Forward","5:69297377-69305013 [Sequence]","Reverse","ENSDART00000060479.6","772","1029","Forward","258 [Sequence]","140","1e-31","67.05 [Alignment]"
"ENSDART00000082614.5","smtnb","628","885","Forward","5:69297377-69305013 [Sequence]","Reverse","ENSDART00000060479.6","772","1029","Forward","258 [Sequence]","140","1e-31","67.05 [Alignment]"
"ENSDART00000182335.1","smtnb","655","912","Forward","5:69297377-69305013 [Sequence]","Reverse","ENSDART00000060479.6","772","1029","Forward","258 [Sequence]","140","1e-31","67.05 [Alignment]"
"ENSDART00000144570.4","smtnb","871","1128","Forward","5:69297377-69305013 [Sequence]","Reverse","ENSDART00000060479.6","772","1029","Forward","258 [Sequence]","140","1e-31","67.05 [Alignment]"
"ENSDART00000145480.3","smtna","765","1058","Forward","10:7875980-7881378 [Sequence]","Reverse","ENSDART00000060479.6","776","1072","Forward","297 [Sequence]","107","9e-22","62.29 [Alignment]"
"ENSDART00000159891.2","CU929178.1","232","361","Forward","19:47416045-47416174 [Sequence]","Reverse","ENSDART00000060479.6","1092","1225","Forward","134 [Sequence]","41.0","0.070","64.18 [Alignment]"
"ENSDART00000188356.1","zswim8","2185","2231","Forward","CHR_ALT_CTG13_1_23:21856658-21856704 [Sequence]","Forward","ENSDART00000060479.6","1258","1304","Forward","47 [Sequence]","41.0","0.070","76.60 [Alignment]"
"ENSDART00000192115.1","zswim8","2185","2231","Forward","13:21856658-21856704 [Sequence]","Forward","ENSDART00000060479.6","1258","1304","Forward","47 [Sequence]","41.0","0.070","76.60 [Alignment]"
"ENSDART00000165150.3","zswim8","2185","2231","Forward","13:21856658-21856704 [Sequence]","Forward","ENSDART00000060479.6","1258","1304","Forward","47 [Sequence]","41.0","0.070","76.60 [Alignment]"
