Gene,description,Total Matches,Longest Match
fxr1,"fragile X mental retardation, autosomal homolog 1 ",10,1359
fxr2,"fragile X mental retardation, autosomal homolog 2 ",16,977
nr2f6a,"nuclear receptor subfamily 2, group F, member 6a ",1,75
ZBTB26,zinc finger and BTB domain containing 26 ,1,72
nat10,N-acetyltransferase 10 ,1,46
rybpa,RING1 and YY1 binding protein a ,1,43
ctdnep1b,CTD nuclear envelope phosphatase 1b ,1,38
gnb1b,"guanine nucleotide binding protein (G protein), beta polypeptide 1b ",1,35
acvr2aa,activin A receptor type 2Aa ,1,34
ube2d2,"ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast) ",1,31
